0,0.02935,round good men general lunch mess found today afternoon rode h.q back evening bde returned day morning tonight officers colonel 
1,0.0208,ship ships fleet sea german cruiser arrived proceeded anchored harbour left p.m destroyers sydney aug nov coal convoy emden a.m 
2,0.00433,preceding page transcript u.a indecipherable puff c.h der bolt mole scarab tag und feed gott kong hong mag res ist 
3,0.03869,concert band good night evening show played music great gave singing boys party song held playing sing hall songs dance 
4,0.0322,wounded station dressing bearers stretcher ambulance killed post night fritz day field men section amb p.m back casualties line a.m 
5,0.04255,war news german british french germany great germans france peace troops allies front army england people papers armistice fighting english 
6,0.01277,prisoners german food hun camp english germans work russian parcels germany russians working huns british men prisoner guard french escape 
7,0.04153,turks trenches fire night beach firing men guns shells shrapnel wounded hill day turkish heavy enemy gun killed artillery gully 
8,0.05091,train arrived station left camp a.m p.m marched journey night railway miles hours morning good reached time passed march leave 
9,0.01552,train london left back arrived tea caught station met hotel walked dinner mrs glasgow home uncle office bed breakfast lunch 
10,0.01099,german naval time signal date berrima flag ship rabaul sydney brigadier wireless guinea native herbertshohe island station encounter governor board 
11,0.01472,red cross comforts fund food tobacco cigarettes sheep men stores work flies supplied australian dogs supply cases live plenty clean 
12,0.05833,parade march drill morning day afternoon camp route guard marched men work inspection order company usual rifle lecture church training 
13,0.01886,dear son ferguson letter mrs sincerely death france sympathy great killed arthur judge loss battalion keith officers indecipherable kind died 
14,0.02599,horses miles turks camp water night left back arish camels turkish sand romani regt camel horse brigade day desert arrived 
15,0.02966,money native natives bought pay english buy fruit paid price cost prices sold worth selling shop shops oranges good egyptian 
16,0.00666,men i've it's i'm don't ship man rabaul he's thro back officers put war fitz sydney told we've captain fantome 
17,0.05548,tea bread dinner biscuits good tin breakfast day jam beef food meat bully butter water rations eat eggs milk made 
18,0.03423,white black red women blue wear dressed men girls dress wearing hat hair uniform hats head looked french soldiers small 
19,0.02409,canal miles desert water sand camp suez jerusalem road jordan turks side valley camped hills horses wadi march bridge camels 
20,0.05663,trees country green beautiful fields pretty miles village road fine place lovely hills small side grass hill villages river passed 
21,0.00937,bty battery weather wagon horses sgt lines p.m fine les action horse major position a.m line gun wounded rounds stunt 
