military life		62	0.20607	men time work great made troops number present days part fact large make place officers australian war general order military 
		54	0.18175	good time lot back bit boys pretty big things don't chaps night morning round chap day put thing place bad 
		10	0.16237	time told back found made man men thought asked officer place put called gave find knew make long decided looked 
		6	0.09093	day sunday july friday morning monday today saturday thursday wednesday tuesday afternoon night june good august usual april september quiet 
Personal?	thoughts of life	8	0.08711	man life men people war years english good world french young great country women australian work read soldier mind things 
?		76	0.08259	time light great air lights long minutes guns smoke sight sound hear men noise round half hour side heard dark 
Personal?	homesick	56	0.07774	day leave days time home good spent england year great months xmas dec australia week left weather france return christmas 
Personal	Weather	3	0.07364	water day hot sand feet men night dust mud cold good wet heat sleep camp rain bad hard bath dry 
?	lanscape	26	0.0708	miles side hill hills country river town view place road high top sea fine distance water long small great large 
Personal	Weather	15	0.07068	cold night day morning rain snow weather wind heavy today wet fine raining yesterday pay frost warm ground blowing sunday 
??		97	0.06925	time war days long back day france things don't home life months thing hope great feel good place hard ago 
EDITOR NOTES		4	0.06825	transcribed page previous blank preceding transcript n/a error photograph html duplicate printed transcription reverse preceeding pages repeat certificate version multi-page 
Personal	Letters, Family	42	0.06768	letter letters dear received home mother time mail love hope write loving news send father good week writing wrote days 
Personal	Morning / breakfast	93	0.06223	night sleep bed good room morning time tea breakfast slept mess till day put camp comfortable hut blankets men tent 
Military life	Camping	90	0.06215	camp move orders ready arrived morning a.m left transport p.m horses men night pack march tents back day road moved 
War	Front line	30	0.05909	line trench trenches front men night back party wire dug post work company yards firing battalion fatigue digging shell day 
Personal	Food	60	0.05713	tea bread dinner biscuits tin food jam good day breakfast beef rations meat butter bully milk eggs fruit eat coffee 
Personal / Tourist?	free time Entertainment	61	0.05636	good concert evening show night tea afternoon home dinner party hall music spent y.m.c.a band time room gave splendid enjoyed 
Tourist	city life	9	0.05606	town people streets place city women soldiers fine native french large street natives shops round english houses places small buildings 
Travelling	Railway	5	0.05508	train station arrived left camp p.m a.m journey leave night morning marched railway hours good trip miles caught reached town 
Personal	Letters, Family	20	0.0544	hope letter time dear good write don't i'm letters love hear things back mrs give news long glad i've writing 
War	Combat	48	0.05434	wounded men killed shell dead man hit head poor shot died back leg left buried bullet badly blown wounds blood 
War	Health	21	0.05377	hospital ward sick doctor bed patients bad feeling day cases medical leg put days wounded sister wound morning arm feel 
Tourist	city tourist spots	55	0.05035	church building place built fine large stone walls room beautiful wall inside house high years cathedral side round tower small 
Military Life	Parades & Marches	66	0.04831	parade march drill morning afternoon camp day route order inspection men marched guard full marching church evening company usual leave 
War	Combat	34	0.04759	shells guns fritz gun shell night fire artillery heavy bombardment line shelling trenches firing enemy big close quiet fired day 
War	Air force	95	0.0472	planes bombs dropped guns plane air machine night brought aeroplanes fritz enemy german aeroplane flying taube lines bomb flew raid 
Travelling	Over the sea	45	0.04578	sea deck day ship passed boat weather night morning land calm board miles sight rough wind port today side hot 
Military life	general	74	0.04528	general brigade officers major battalion division officer col capt staff lieut command colonel australian gen men corps birdwood army div 
War	News	13	0.04474	news french war german british germans front great troops prisoners france today english fighting papers big australians army germany captured 
Tourist	Countryside	32	0.04105	trees green country fields beautiful lovely pretty flowers grass crops tree village fruit garden place road small growing gardens leaves 
War	Combat	46	0.04035	turks men enemy trenches wounded attack position left guns fire line killed machine heavy casualties night artillery fighting infantry captured 
Personal	Personal care & clothes	80	0.03995	boots pair white socks black clothes wear red issued post hat shirt wearing picture card clothing cap clean trousers uniform 
EDITOR NOTES		78	0.03836	diary letter written pages australian note page letters notes book copy war printed august records australia transcriber's paper april read 
Tourist	London	73	0.03767	london train back tea met hotel home park place dinner afternoon walked house arrived bus left caught lunch city walk 
War	Front line	88	0.03721	line front guns enemy night attack barrage artillery fritz road position forward stunt heavy left prisoners moved advance gun morning 
Military life	General	38	0.0368	men officer officers man major court orderly sergeant charge corporal guard company told colonel mess military room put martial private 
Military life	Turkey	14	0.0358	horses miles camp turks water night left camels turkish horse back moved camped regt wadi camel arish brigade desert sand 
		39	0.03545	road shell wood village mud left shells roads german ground ypres bapaume place holes ruins town blown traffic fritz dead 
Military life?		40	0.03498	miles marched march battalion camp night line village albert moved back left days day place move time billets morning big 
Personal?	Killing time	99	0.03444	day home tea till bed afternoon evening morning dinner back fine read wrote letters breakfast good usual spent rain sunday 
Military life?	General	57	0.03342	round good general men lunch afternoon mess found today evening morning rode tonight colonel returned officers h.q back day bde 
Military life	navy	29	0.03286	ships ship troops submarine passed boat boats port british destroyers cruiser submarines board sea speed miles sunk transports night a.m 
Personal	Colors & beauty	0	0.03279	sun blue sky white beautiful light bright green red colour black beauty grey night shining world clouds moon gold full 
		98	0.03274	day morning afternoon tea jan wrote parade dinner night feb evening letters sunday march letter monday home good tuesday saturday 
War?	Health	86	0.03262	wounded station dressing ambulance bearers day stretcher night field post amb cases fritz section back number busy patients line work 
Travelling	French roads	27	0.03044	village town left miles road motor amiens billets marched omer french bailleul march arrived back somme place hazebrouck kilos lorry 
??	Health	75	0.03021	capt sgt killed pte l.h wounded margin major indecipherable cpl batt jack sick met smith lieut col note bill left 
Travelling	Over the sea	69	0.02931	boat ship boats ashore board harbour water wharf aboard ships shore men port alongside small deck beach side troops coal 
War	Combat	58	0.02917	turks trenches beach fire night shells firing guns shrapnel turkish gun day morning hill heavy artillery quiet men rifle gully 
		59	0.0289	work good day time to-day working hard job days hours things put week fair section to-night making usual duties deal 
Military life	Sports	36	0.02886	played won football sports match game cricket afternoon team day playing good race held boxing games play cards officers parade 
Military life	chaps & comrades	44	0.02742	band boys men great people passed crowd played gave flags playing soldiers king troops cheers marched past cheering french singing 
		53	0.0274	head long side feet end sketch top small horse front piece black rope drawing left cut water wheel hand hair 
Travelling	Over the sea	18	0.02731	port board sydney melbourne ship boat left wharf leave ashore arrived bay harbour p.m troops fremantle town sea cape colombo 
Personal	sadness	71	0.02712	dear great son death sympathy god boys loss home heart feel soldier died mother sad life proud kind mrs men 
Personal	Money	91	0.0271	pay money paid bank book dear office comforts leave london soldiers sydney fund mrs received send made funds australia case 
		24	0.02664	morning oclock back today afternoon tonight night camp time good regt put horses duty received dinner troop arrived horse till 
